,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region
0,6800,HOUSE,HOUSE,295000.0,5,460.0,1,0,0,1,10.0,0,,321.0,2.0,0,TO_BE_DONE_UP,Libramont-Chevigny,Non,LIBRAMONT-CHEVIGNY,LUXEMBOURG,WALLONIE
1,7800,HOUSE,HOUSE,230000.0,4,128.0,0,0,0,0,,0,,570.0,4.0,0,,Ath,Non,ATH,HAINAUT,WALLONIE
2,8760,HOUSE,HOUSE,145000.0,6,,0,0,0,0,,1,,233.0,,0,TO_RENOVATE,Meulebeke,Non,MEULEBEKE,FLANDRE-OCCIDENTALE,VLAANDEREN
3,6044,HOUSE,HOUSE,130000.0,2,110.0,1,1,0,1,,1,300.0,470.0,3.0,0,TO_BE_DONE_UP,Roux,Oui,CHARLEROI,HAINAUT,WALLONIE
4,4970,HOUSE,HOUSE,450000.0,9,400.0,1,0,0,0,,1,1300.0,1500.0,4.0,0,,Stavelot,Non,STAVELOT,LIEGE,WALLONIE
5,9890,HOUSE,MANSION,435000.0,5,452.0,0,0,0,0,,1,,460.0,4.0,0,TO_RENOVATE,Gavere,Non,GAVERE,FLANDRE-ORIENTALE,VLAANDEREN
6,9450,HOUSE,HOUSE,265000.0,3,180.0,0,0,0,0,,1,,240.0,,0,TO_BE_DONE_UP,Haaltert,Non,HAALTERT,FLANDRE-ORIENTALE,VLAANDEREN
7,4020,HOUSE,HOUSE,121000.0,3,85.0,1,0,0,1,20.0,0,,69.0,,0,GOOD,Liège,Non,LIÈGE,LIEGE,WALLONIE
8,1160,HOUSE,HOUSE,550000.0,3,150.0,0,0,1,1,10.0,1,100.0,141.0,2.0,0,TO_RENOVATE,Auderghem,Non,AUDERGHEM,BRUXELLES,BRUXELLES
9,1850,HOUSE,HOUSE,490000.0,4,200.0,1,0,0,0,,1,90.0,190.0,,0,GOOD,Grimbergen,Non,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN
10,8610,HOUSE,HOUSE,185000.0,3,,0,0,0,0,,0,,1446.0,3.0,0,,Kortemark,Non,KORTEMARK,FLANDRE-OCCIDENTALE,VLAANDEREN
11,8380,HOUSE,MIXED_USE_BUILDING,519000.0,3,310.0,0,0,0,0,,0,,464.0,,0,JUST_RENOVATED,Dudzele,Oui,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN
12,2170,HOUSE,HOUSE,325000.0,3,145.0,1,0,0,1,17.0,1,62.0,130.0,2.0,0,JUST_RENOVATED,Merksem,Oui,ANTWERPEN,ANVERS,VLAANDEREN
13,8830,HOUSE,HOUSE,245000.0,3,131.0,1,0,0,1,,1,1.0,672.0,,0,GOOD,Hooglede,Non,HOOGLEDE,FLANDRE-OCCIDENTALE,VLAANDEREN
14,1380,HOUSE,VILLA,3600000.0,3,,0,0,1,1,,0,,29000.0,4.0,0,AS_NEW,Couture-Saint-Germain,Oui,LASNE,BRABANT WALLON,WALLONIE
15,4400,HOUSE,HOUSE,277227.0,3,,0,0,0,1,,0,,338.0,2.0,0,,Awirs,Oui,FLÉMALLE,LIEGE,WALLONIE
16,6000,HOUSE,TOWN_HOUSE,150000.0,2,80.0,1,0,0,1,45.0,0,,0.0,2.0,0,TO_RENOVATE,Charleroi,Non,CHARLEROI,HAINAUT,WALLONIE
17,2640,HOUSE,HOUSE,210000.0,3,,0,0,0,0,,0,,116.0,2.0,0,TO_RENOVATE,Mortsel,Non,MORTSEL,ANVERS,VLAANDEREN
18,6044,HOUSE,HOUSE,145000.0,3,120.0,1,0,0,1,,0,,0.0,2.0,0,TO_BE_DONE_UP,Roux,Oui,CHARLEROI,HAINAUT,WALLONIE
19,9600,APARTMENT,APARTMENT,165000.0,1,69.0,1,0,0,0,,1,42.0,,2.0,0,GOOD,Renaix,Non,RENAIX,FLANDRE-ORIENTALE,VLAANDEREN
20,2000,HOUSE,MIXED_USE_BUILDING,829000.0,3,308.0,1,0,0,0,,0,,83.0,3.0,0,,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
21,2560,HOUSE,HOUSE,324000.0,3,196.0,1,0,0,1,11.0,1,30.0,126.0,2.0,0,,Nijlen,Non,NIJLEN,ANVERS,VLAANDEREN
22,8000,HOUSE,HOUSE,405000.0,4,166.0,0,0,0,0,,0,,195.0,,0,,Brugge,Non,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN
23,1500,HOUSE,MIXED_USE_BUILDING,550000.0,4,474.0,0,0,0,0,,0,,229.0,,0,,Halle,Non,HALLE,BRABANT FLAMAND,VLAANDEREN
24,8710,HOUSE,HOUSE,412000.0,3,142.0,1,0,0,1,15.0,0,,389.0,2.0,0,GOOD,Wielsbeke,Non,WIELSBEKE,FLANDRE-OCCIDENTALE,VLAANDEREN
25,1325,APARTMENT,DUPLEX,265000.0,2,93.0,1,0,0,1,12.0,0,,,4.0,0,,Chaumont-Gistoux,Non,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE
26,1330,HOUSE,VILLA,749000.0,9,420.0,1,0,0,1,,0,,1296.0,4.0,0,GOOD,Rixensart,Non,RIXENSART,BRABANT WALLON,WALLONIE
27,2170,APARTMENT,APARTMENT,235000.0,2,,0,0,0,0,,1,249.0,,,0,,Merksem,Oui,ANTWERPEN,ANVERS,VLAANDEREN
28,9120,APARTMENT,APARTMENT,322500.0,2,106.0,1,0,0,1,32.0,0,,,,0,,Beveren-Waas,Non,BEVEREN-WAAS,FLANDRE-ORIENTALE,VLAANDEREN
29,9402,APARTMENT,APARTMENT,167990.0,1,60.0,0,0,0,0,,0,,,,0,,Meerbeke,Oui,NINOVE,FLANDRE-ORIENTALE,VLAANDEREN
30,2000,APARTMENT,APARTMENT,256000.0,1,80.0,1,0,0,0,,0,,,2.0,0,GOOD,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
31,8310,APARTMENT,GROUND_FLOOR,219000.0,2,92.0,0,0,0,0,,0,,,,0,,Assebroek,Oui,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN
32,4500,APARTMENT,APARTMENT,208000.0,2,90.0,0,0,0,1,10.0,0,,,,0,,Huy,Non,HUY,LIEGE,WALLONIE
33,3590,APARTMENT,APARTMENT,221340.0,2,99.0,1,0,0,1,10.0,0,,,,0,AS_NEW,Diepenbeek,Non,DIEPENBEEK,LIMBOURG,VLAANDEREN
34,2000,APARTMENT,APARTMENT,235000.0,1,50.0,1,1,0,1,4.0,0,,,2.0,0,AS_NEW,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
35,4987,HOUSE,HOUSE,120000.0,2,120.0,0,0,0,0,,0,,400.0,3.0,0,TO_RESTORE,Stoumont,Non,STOUMONT,LIEGE,WALLONIE
